Rank,Player,Points,Achievements
1,GDxPiano,59472.6,27
2,veinti.28,24100.8,15
3,keytoucher1434,23592.9,15
4,Pianotopian,23071.5,22
5,LShrinkOn,15527.5,11
6,AlphaLynx,13993.9,13
7,xArash7,13637.3,8
8,alvarolmrr,11463.2,12
9,resonance.society,11027.2,11
10,nilgd666,10672.3,4
11,OllieCR,8847.4,6
12,juderb,5509.0,3
13,lislpiano,2348.2,4
14,funkopotamuswes,2334.9,1
15,Aurorae_Drago,2158.1,1
16,ETM_Games,1967.2,1
17,Ladidady,1929.7,1
18,Mestra_Flow,1884.6,4
19,bloonkbok,1625.9,2
20,gabry.r.04,1516.6,1
21,Faviero,1334.7,4
22,pianotensor,985.0,1
23,is_that_radders,853.8,1
24,FreezeMario,715.5,1
25,shasaid1thing,517.2,2
26,JeromeJD69,474.5,2
27,BluetubeGaming,444.4,2
28,Paulthefourth4,419.1,1
29,Awalbrok,396.8,1
30,GDNinjaOfficial,385.8,1
31,BeatBakstBeatboxing,375.0,1
32,plungeris,353.6,1
33,austonwang,322.2,1
34,ollie_r08,312.0,1
35,Vegtam,301.9,1
36,notsethagain,291.9,1
37,_ya_russkiy_,266.6,2
38,Dowly,262.5,1
39,penguinxlabs,253.0,1
40,jonahbtmusic,248.9,2
41,aidanplayspiano1,207.1,1
42,rodacosta22,198.3,1
43,RowOGD,181.0,1
44,ryanhobbiesandfun,172.6,1
45,cplayergod3,164.3,1
46,AwakeNothingik,148.2,1
47,Tiohorchata,140.3,1
48,DeDumplingGamer,132.6,1
49,joshhowth,125.0,1
50,jerryyyzhang,117.6,1
51,mikeys_piano,103.2,1
52,RyotaF.Z,89.4,1
53,TheEpicGamerBoyYT,70.1,1
54,dena1628,27.0,1
55,AC410410,11.2,1
