Rank,Player,Points,Achievements
1,GDxPiano,60702.4,27
2,veinti.28,26234.4,16
3,Pianotopian,22694.7,22
4,keytoucher1434,20664.2,14
5,LShrinkOn,15281.7,11
6,AlphaLynx,13787.5,13
7,xArash7,12623.8,8
8,alvarolmrr,11242.1,12
9,resonance.society,10920.6,11
10,nilgd666,10836.8,4
11,OllieCR,8804.2,6
12,juderb,6195.0,3
13,bloonkbok,2611.7,2
14,funkopotamuswes,2394.9,1
15,lislpiano,2325.0,4
16,Aurorae_Drago,2158.1,1
17,Mestra_Flow,2109.9,5
18,ETM_Games,1967.2,1
19,Ladidady,1929.7,1
20,gabry.r.04,1465.2,1
21,Faviero,1416.4,4
22,pianotensor,970.2,1
23,FreezeMario,742.5,1
24,is_that_radders,610.9,1
25,shasaid1thing,511.3,2
26,JeromeJD69,467.4,2
27,BluetubeGaming,439.5,2
28,Paulthefourth4,419.1,1
29,Awalbrok,396.8,1
30,GDNinjaOfficial,385.8,1
31,BeatBakstBeatboxing,375.0,1
32,plungeris,353.6,1
33,austonwang,322.2,1
34,ollie_r08,312.0,1
35,Vegtam,301.9,1
36,notsethagain,291.9,1
37,Dowly,262.5,1
38,_ya_russkiy_,261.5,2
39,penguinxlabs,253.0,1
40,jonahbtmusic,245.4,2
41,aidanplayspiano1,207.1,1
42,rodacosta22,198.3,1
43,RowOGD,172.6,1
44,ryanhobbiesandfun,164.3,1
45,cplayergod3,156.2,1
46,AwakeNothingik,140.3,1
47,Tiohorchata,132.6,1
48,DeDumplingGamer,125.0,1
49,joshhowth,117.6,1
50,jerryyyzhang,110.3,1
51,mikeys_piano,96.2,1
52,RyotaF.Z,82.8,1
53,TheEpicGamerBoyYT,64.0,1
54,dena1628,22.6,1
55,AC410410,8.0,1
56,alexpiano111,1.0,1
